year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
1995,199509,肯特,KENT,5,1995/8/27 17:10,中度,955,45,200,100,32
,,,,,1995/8/31 14:45,,,,,,
1995,199508,珍妮絲,JANIS,---,1995/8/23 17:55,輕度,990,23,120,---,10
,,,,,1995/8/24 21:25,,,,,,
1995,199506,海倫,HELEN,---,1995/8/9 11:50,輕度,980,23,120,---,15
,,,,,1995/8/11 06:15,,,,,,
1995,199505,蓋瑞,GARY,7,1995/7/31 03:55,輕度,980,28,150,---,7
,,,,,1995/7/31 20:45,,,,,,
1995,199502,荻安娜,DEANNA,9,1995/6/4 16:30,輕度,995,20,120,---,33
,,,,,1995/6/8 14:50,,,,,,
1994,199427,席斯,SETH,6,1994/10/7 14:45,強烈,925,51,350,150,30
,,,,,1994/10/11 05:40,,,,,,
1994,199416,葛拉絲,GLADYS,2,1994/8/31 02:35,中度,970,35,200,100,18
,,,,,1994/9/2 02:30,,,,,,
1994,199415,弗雷特,FRED,1,1994/8/19 02:35,強烈,935,55,350,150,26
,,,,,1994/8/22 05:50,,,,,,
1994,199413,道格,DOUG,6,1994/8/6 09:10,強烈,930,58,350,150,24
,,,,,1994/8/9 06:15,,,,,,
1994,199412,凱特琳,CAITLIN,3,1994/8/3 06:15,輕度,987,25,120,---,12
,,,,,1994/8/4 14:30,,,,,,
1994,199405,提姆,TIM,3,1994/7/9 10:20,強烈,945,53,250,120,10
,,,,,1994/7/11 15:40,,,,,,
1993,199316,亞伯,ABE,5,1993/9/10 21:30,中度,950,43,150,50,15
,,,,,1993/9/14 09:10,,,,,,
1993,199314,楊希,YANCY,---,1993/8/31 21:30,強烈,935,51,250,120,8
,,,,,1993/9/2 16:00,,,,,,
1993,199311,塔莎,TASHA,---,1993/8/17 16:10,輕度,975,25,200,---,8
,,,,,1993/8/19 09:40,,,,,,
1992,199219,泰德,TED,6,1992/9/20 10:15,輕度,985,30,200,50,14
,,,,,1992/9/23 14:55,,,,,,
1992,199216,寶莉,POLLY,3,1992/8/27 11:40,輕度,975,23,200,---,17
,,,,,1992/8/31 09:40,,,,,,
1992,199215,歐馬,OMAR,3,1992/9/3 08:50,中度,945,40,200,100,11
,,,,,1992/9/5 17:45,,,,,,
1992,199213,馬克,MARK,---,1992/8/16 16:40,輕度,988,20,100,---,13
,,,,,1992/8/19 15:10,,,,,,
1992,199202,芭比,BOBBIE,---,1992/6/26 15:30,中度,948,48,200,100,10
,,,,,1992/6/28 21:10,,,,,,
1991,199124,席斯,SETH,---,1991/11/12 21:45,中度,920,33,250,100,8
