name,location,tele,CityName,latlon
谷關服務所,台中市和平區東關路一段121號,04-25951110,台中市,"24.203014,121.00699650000001"
南投區營業處,南投縣草屯鎮太平路1段42號,049-2350101,南投縣,"23.9561695,120.68176070000004"
霧峰服務所,台中市霧峰區樹仁路243號,04-23393023,台中市,"24.0572851,120.69694609999999"
南投服務所,南投縣南投市民族路436號6樓,049-2205560,南投縣,"23.907553,120.68235800000002"
埔里服務所,南投縣埔里鎮信義路9號,049-2982006,南投縣,"23.9739463,120.97895740000001"
竹山服務所,南投縣竹山鎮和興巷143號,049-2642063,南投縣,"23.7615355,120.69290509999996"
名間服務所,南投縣名間鄉董門巷16之5號,049-2732054,南投縣,"23.8388,120.7009951"
國姓服務所,南投縣國姓鄉中興路305號,049-2721016,南投縣,"24.0384887,120.85446679999995"
鹿谷服務所,南投縣鹿谷鄉中正路2段135號,049-2752026,南投縣,"23.747912,120.75257899999997"
水里服務所,南投縣水里鄉民生路282號,049-2770034,南投縣,"23.8149367,120.85514069999999"
魚池服務所,南投縣魚池鄉水社村中山路281號,049-2855116,南投縣,"23.8666853,120.90474599999993"
信義服務所,南投縣信義鄉玉山路85號,049-2791004,南投縣,"23.702109,120.85422599999993"
集集服務所,南投縣集集鎮大園巷18號,049-2762047,南投縣,"23.8327605,120.79989390000003"
仁愛服務所,南投縣仁愛鄉仁和路50號,049-2802612,南投縣,"24.0221263,121.13218610000001"
中寮服務所,南投縣中寮鄉初中巷16號,049-2691340,南投縣,"23.8798777,120.76497760000007"
彰化區營業處,彰化市中山路二段418號,04-7256461,彰化市,"24.076194,120.54429000000005"
員林服務所,彰化縣員林市中山路二段369巷4號,04-8320063,彰化縣,"23.9687725,120.57021959999997"
和美服務所,彰化縣和美鎮彰美路六段205號,04-7552017,彰化縣,"24.1160499,120.49514999999997"
溪湖服務所,彰化縣溪湖鎮大溪路二段110號,04-8852305,彰化縣,"23.9677656,120.48658699999999"
鹿港服務所,彰化縣鹿港鎮中山路328號,04-7772171,彰化縣,"24.057674,120.43303000000003"
二林服務所,彰化縣二林鎮斗苑路4段517號,04-8960061,彰化縣,"23.8995596,120.37687069999993"
北斗服務所,彰化縣北斗鎮文苑路一段107號,04-8882069,彰化縣,"23.8753525,120.52163580000001"
花壇服務所,彰化縣花壇鄉光明路82號,04-7862047,彰化縣,"24.0221673,120.53997359999994"
永靖服務所,彰化縣永靖鄉開明路66號,04-8221906,彰化縣,"23.9196535,120.54521360000001"
田中服務所,彰化縣田中鎮中路街52號,04-8742054,彰化縣,"23.8591095,120.58884650000005"
溪州服務所,彰化縣溪州鄉溪下路4段568號 ,04-8895049,彰化縣,"23.8518886,120.4985762"
秀水服務所,彰化縣秀水鄉彰水路一段189號,04-7692014,彰化縣,"24.038731,120.50303600000007"
社頭服務所,彰化縣社頭鄉員集路一段925號,04-8732025,彰化縣,"23.8940343,120.5879797"
埤頭服務所,彰化縣埤頭鄉斗苑西路343號,04-8922031,彰化縣,"23.892123,120.45728400000007"
草湖服務所,彰化縣芳苑鄉草漢路一段59號,04-8862184,彰化縣,"23.9591635,120.38150870000004"
竹塘服務所,彰化縣竹塘鄉竹林路一段327號,04-8972027,彰化縣,"23.860664,120.4275414"
大城服務所,彰化縣大城鄉中平路290號,04-8941013,彰化縣,"23.8507546,120.32055949999994"
二水服務所,彰化縣二水鄉光文路100號,04-8792009,彰化縣,"23.8117901,120.616221"
雲林區營業處,雲林縣斗六市明德北路3段39號,05-5323927,雲林縣,"23.7124488,120.53276110000002"
虎尾服務所,雲林縣虎尾鎮水源路12號,05-6322054,雲林縣,"23.71112,120.43177700000001"
褒忠服務所,雲林縣褒忠鄉泰安路80號,"05-6972025",雲林縣,"23.6916203,120.29680559999997"
北港服務所,雲林縣北港鎮華勝路67號,05-7832073,雲林縣,"23.574453,120.299035"
斗南服務所,雲林縣斗南鎮文昌路380號,05-5972036,雲林縣,"23.6793405,120.47397479999995"
麥寮服務所,雲林縣麥寮鄉中華路85號,05-6932029,雲林縣,"23.750876,120.25877100000002"
二崙服務所,雲林縣二崙鄉中興路120號,05-5982024,雲林縣,"23.7734234,120.41199089999998"
莿桐服務所,雲林縣莿桐鄉中山路39號,05-5842042,雲林縣,"23.7557094,120.499054"
四湖服務所,雲林縣四湖鄉中山東路6號,05-7872021,雲林縣,"23.6372501,120.23192100000006"
西螺服務所,雲林縣西螺鎮建興路138號,05-5862031,雲林縣,"23.797349,120.45958500000006"
土庫服務所,雲林縣土庫鎮大同路107-3號,05-6622516,雲林縣,"23.6756948,120.39305539999998"
台西服務所,雲林縣台西鄉中山路449號,05-6982031,雲林縣,"23.7006791,120.19461439999998"
崙背服務所,雲林縣崙背鄉建國路33號,05-6962014,雲林縣,"23.7596214,120.35411729999998"
元長服務所,雲林縣元長鄉元南路32號,05-7882008,雲林縣,"23.646608,120.31440199999997"
口湖服務所,雲林縣口湖鄉中正路1段146號,05-7892018,雲林縣,"23.5829157,120.18448720000004"
水林服務所,雲林縣水林鄉水北村顏厝寮80號,05-7852622,雲林縣,"23.5718275,120.25104579999993"
大埤服務所,雲林縣大埤鄉民族路57號,05-5912014,雲林縣,"23.6437276,120.4336591"
古坑服務所,雲林縣古坑鄉中山路282-1號,05-5821021,雲林縣,"23.702277,120.53824800000007"
林內服務所,雲林縣林內鄉中正路386號,05-5892032,雲林縣,"23.7553847,120.61283079999998"
嘉義區營業處,嘉義市垂楊路223號,05-2226711,嘉義市,"23.474034,120.45512299999996"
朴子服務所,嘉義縣朴子市安福里光復路42號,05-3792029,嘉義縣,"23.465773,120.24644480000006"
民雄服務所,嘉義縣民雄鄉東湖村東勢湖86-8號,05-2261251,嘉義縣,"23.5540432,120.43514540000001"
新港服務所,嘉義縣新港鄉宮前村中山路39號,05-3742048,嘉義縣,"23.5553592,120.347759"
水上服務所,嘉義縣水上鄉中山路2段23號,05-2682016,嘉義縣,"23.428042,120.39416600000004"
太保服務所,嘉義縣太保市太保里太保102號,05-3711009,嘉義縣,"23.460513,120.33351100000004"
中埔服務所,嘉義縣中埔鄉中埔村170-1號,05-2531004,嘉義縣,"23.4241035,120.52223430000004"
竹崎服務所,嘉義縣竹崎鄉和平村田寮99號,05-2611003,嘉義縣,"23.517947,120.54876200000001"
大林服務所,嘉義縣大林鎮平林里中興路274號,05-2652101,嘉義縣,"23.6025727,120.46206899999993"
溪口服務所,嘉義縣溪口鄉坪頂村中正東路102號,05-2691035,嘉義縣,"23.6054531,120.40211669999997"
